link_id,u,v,isp,link_type,ownership,availability,srg_cons,srg_ideal
ADL_DRW_1,ADL_1,DRW_1,telstra,rail_road,owned,constant,ADL_DRW_TER_1,ADL_DRW_TER_1
PER_DRW_1,PER_1,DRW_1,telstra,road,owned,subject_to_demand,"PER_PHE_TER_1, DRW_PHE_TER_1",PER_DRW_TER_1
PER_ADL_1,PER_1,ADL_1,telstra,road,owned,constant,PER_ADL_TER_1,PER_ADL_TER_1
MEL_ADL_1,MEL_1,ADL_1,telstra,rail_road,owned,constant,MEL_ADL_TER_1,MEL_ADL_TER_1
MEL_HBA_1,MEL_1,HBA_1,telstra,mix,third_party,subject_to_demand,"MEL_LST_SUB_1, HBA_LST_TER_1","MEL_LST_SUB_1, HBA_LST_TER_1"
MEL_HBA_2,MEL_1,HBA_1,telstra,mix,third_party,subject_to_demand,"MEL_LST_SUB_2, HBA_LST_TER_2","MEL_LST_SUB_2, HBA_LST_TER_2"
MEL_CBR_1,MEL_1,CBR_1,telstra,road,owned,constant,MEL_CBR_TER_1,MEL_CBR_TER_1
MEL_CBR_2,MEL_1,CBR_1,telstra,rail_road,owned,constant,MEL_CBR_TER_2,MEL_CBR_TER_2
SYD_CBR_1,SYD_1,CBR_1,telstra,road,owned,constant,SYD_CBR_TER_1,SYD_CBR_TER_1
SYD_CBR_2,SYD_1,CBR_1,telstra,rail_road,owned,constant,SYD_CBR_TER_2,SYD_CBR_TER_2
SYD_PER_1,SYD_1,PER_1,telstra,rail_road,owned,constant,"SYD_ADL_TER_1, PER_ADL_TER_2","SYD_ADL_TER_1, PER_ADL_TER_2"
SYD_PER_2,SYD_1,PER_1,telstra,sub,third_party,null,SYD_PER_SUB_1,SYD_PER_SUB_1
SYD_BNE_1,SYD_1,BNE_1,telstra,rail_road,owned,constant,SYD_BNE_TER_1,SYD_BNE_TER_1
SYD_BNE_2,SYD_1,BNE_1,telstra,rail_road,owned,subject_to_demand,SYD_BNE_TER_2,SYD_BNE_TER_2
BNE_DRW_1,BNE_1,DRW_1,telstra,road,owned,subject_to_demand,"BNE_ROK_TER_1, TSV_ROK_TER_1, TSV_HGD_TER_1, ISA_HGD_TER_1, DRW_ISA_TER_1",BNE_DRW_TER_1
SYD_MEL_1,SYD_1,MEL_1,telstra,sub,third_party,null,"SYD_MEL_SUB_1","SYD_MEL_SUB_1"
SYD_BNE_3,SYD_1,BNE_1,telstra,sub,third_party,null,SYD_BNE_SUB_1,SYD_BNE_SUB_1
SYD_BNE_4,SYD_1,BNE_1,telstra,sub,third_party,non-operational,SYD_BNE_SUB_2,SYD_BNE_SUB_2
MEL_ADL_2,MEL_1,ADL_1,telstra,sub,third_party,non-operational,"MEL_ADL_SUB_1, ADL_SMAP_SUB_1","MEL_ADL_SUB_1, ADL_SMAP_SUB_1"
PER_ADL_2,PER_1,ADL_1,telstra,sub,third_party,non-operational,"PER_ADL_SUB_1, ADL_SMAP_SUB_1","PER_ADL_SUB_1, ADL_SMAP_SUB_1"
ADL_DRW_1,ADL_1,DRW_1,optus,rail_road,leased_trunk,null,ADL_DRW_TER_1,ADL_DRW_TER_1
