srg_id,srg_type,u,v,edges
ADL_DRW_TER_1,rail_road,ADL_1,DRW_1,"[('ADL_DRW_1', 'ADL_1', 'DRW_1', 'telstra'), ('ADL_DRW_1', 'ADL_1', 'DRW_1', 'optus'), ('ADL_DRW_1', 'ADL_1', 'DRW_1', 'aarnet'), ('ADL_DRW_1', 'ADL_1', 'DRW_1', 'abb'), ('ADL_DRW_1', 'ADL_1', 'DRW_1', 'vocus'), ('ADL_DRW_1', 'ADL_1', 'DRW_1', 'superloop')]"
ADL_SMAP_SUB_1,sub,ADL_1,SMAP_1,"[('MEL_ADL_2', 'MEL_1', 'ADL_1', 'telstra'), ('PER_ADL_2', 'PER_1', 'ADL_1', 'telstra'), ('PER_ADL_2', 'PER_1', 'ADL_1', 'abb'), ('MEL_ADL_2', 'MEL_1', 'ADL_1', 'abb')]"
BNE_ROK_TER_1,rail_road,BNE_1,ROK_1,"[('BNE_DRW_1', 'BNE_1', 'DRW_1', 'telstra'), ('BNE_ROK_1', 'BNE_1', 'ROK_1', 'optus'), ('BNE_ROK_1', 'BNE_1', 'ROK_1', 'aarnet'), ('BNE_TSV_1', 'BNE_1', 'TSV_1', 'vocus')]"
BNE_ROK_TER_2,road,BNE_1,ROK_1,"[('BNE_ROK_2', 'BNE_1', 'ROK_1', 'aarnet')]"
BNE_ROK_TER_3,road,BNE_1,ROK_1,"[('BNE_TSV_1', 'BNE_1', 'TSV_1', 'optus'), ('BNE_ROK_3', 'BNE_1', 'ROK_1', 'aarnet'), ('BNE_ISA_1', 'BNE_1', 'ISA_1', 'vocus'), ('BNE_DRW_1', 'BNE_1', 'DRW_1', 'superloop')]"
BNE_TSV_TER_1,road,BNE_1,TSV_1,"[('BNE_TSV_2', 'BNE_1', 'TSV_1', 'optus')]"
DRW_ISA_TER_1,road,DRW_1,ISA_1,"[('BNE_DRW_1', 'BNE_1', 'DRW_1', 'telstra'), ('DRW_ISA_1', 'DRW_1', 'ISA_1', 'aarnet'), ('DRW_ISA_1', 'DRW_1', 'ISA_1', 'vocus'), ('BNE_DRW_1', 'BNE_1', 'DRW_1', 'superloop')]"
DRW_PHE_SUB_1,sub,DRW_1,PHE_1,"[('DRW_PHE_1', 'DRW_1', 'PHE_1', 'vocus')]"
DRW_PHE_TER_1,road,DRW_1,PHE_1,"[('PER_DRW_1', 'PER_1', 'DRW_1', 'telstra'), ('DRW_PHE_1', 'DRW_1', 'PHE_1', 'optus'), ('PER_DRW_1', 'PER_1', 'DRW_1', 'abb'), ('PER_DRW_1', 'PER_1', 'DRW_1', 'superloop')]"
HBA_LST_TER_1,road,HBA_1,LST_1,"[('MEL_HBA_1', 'MEL_1', 'HBA_1', 'telstra'), ('HBA_LST_1', 'HBA_1', 'LST_1', 'optus'), ('MEL_HBA_1', 'MEL_1', 'HBA_1', 'aarnet'), ('HBA_LST_1', 'HBA_1', 'LST_1', 'abb'), ('MEL_HBA_1', 'MEL_1', 'HBA_1', 'superloop')]"
