Facility,Country,City
CoreSite - Los Angeles (LA1) One Wilshire,United States of America,Los Angeles
CoreSite - San Jose (SV1),United States of America,San Jose
DCA | Pier DC Tier III,Australia,Perth
DigiCo Adelaide ADL1 (YourDC Ed Parks),Australia,Edinburgh Parks
DigiCo Adelaide ADL2 (YourDC Hawthorn),Australia,Adelaide
DigiCo Brisbane BNE1 (iseek LDR1),Australia,Eagle Farm
DigiCo Sydney SYD1 (formerly Global Switch Australia),Australia,Sydney
Digital Sense Brisbane,Australia,Kenmore
Equinix BR1 - Brisbane (formerly Metronode Brisbane 1),Australia,Brisbane
Equinix ME1/ME2 - Melbourne,Australia,Melbourne
Equinix SG1 - Singapore,Singapore,Singapore
Equinix SG3 - Singapore,Singapore,Singapore
Equinix SY1/SY2 - Sydney,Australia,Sydney
Equinix SY3 - Sydney,Australia,Sydney
Equinix SY4 - Sydney,Australia,Sydney
Equinix SY5 - Sydney,Australia,Sydney
Fujitsu Eight Mile Plains,Australia,Brisbane
Host Networks BNE1,Australia,Brisbane
Interactive Brisbane,Australia,Eight Mile Plains
Interactive Melbourne,Australia,Port Melbourne
NEXTDC A1,Australia,Adelaide
NEXTDC B1,Australia,Brisbane
NEXTDC B2,Australia,Fortitude Valley
NEXTDC C1,Australia,Bruce
NEXTDC D1,Australia,Darwin
NEXTDC M1,Australia,Melbourne
NEXTDC M2,Australia,Tullamarine
NEXTDC M3,Australia,West Footscray
NEXTDC P1,Australia,Málaga
NEXTDC P2,Australia,Perth
NEXTDC S1,Australia,Sydney
NEXTDC S2,Australia,Macquarie Park
NEXTDC S3,Australia,Artarmon
Over the Wire - 24 Little Edward,Australia,Spring Hill
Polaris Data Centre,Australia,Brisbane
Pulse Data Center,Australia,Wellcamp
Vocus Melbourne MEL03,Australia,Melbourne
