Exchange,IPv4,ASN,IPv6,Speed,Port Location,RS Peer,BFD Support
Any2West,206.72.211.239,4764,2001:504:13::211:239,100G,,,
BBIX Singapore,103.231.152.64,4764,2001:df5:b800:bb00::4764:1,100G,,,
EdgeIX - Adelaide,103.136.101.3,4764,2001:df0:680:2::4,10G,,,
EdgeIX - Adelaide,103.136.101.2,4764,2001:df0:680:2::3,100G,,,
EdgeIX - Brisbane,103.136.103.15,4764,2001:df0:680:4::f,100G,,,
EdgeIX - Melbourne,202.77.90.5,4764,2001:df0:680:6::5,100G,,,
EdgeIX - Perth,103.136.102.3,4764,2001:df0:680:3::3,100G,,,
EdgeIX - Sydney,202.77.88.115,4764,2001:df0:680:5::72,400G,,,
EdgeIX - Sydney,202.77.88.3,4764,2001:df0:680:5::3,100G,,,
Equinix Melbourne,183.177.61.11,4764,2001:de8:6:1::4764:1,100G,,,
Equinix Singapore,27.111.229.181,4764,2001:de8:4::4764:1,100G,,,
Equinix Sydney,45.127.173.7,4764,2001:de8:6::4764:1,200G,,,
MegaIX Brisbane,103.26.70.70,4764,2001:dea:0:20::46,100G,,,
MegaIX Melbourne,103.26.71.19,4764,2001:dea:0:30::13,100G,,,
MegaIX Perth,202.12.243.28,4764,2001:dea:0:50::1c,100G,,,
MegaIX Sydney,103.26.68.58,4764,2001:dea:0:10::3a,100G,,,
NSW-IX,218.100.52.89,4764,2001:7fa:11:4:0:129c:0:1,100G,,,
QLD-IX,218.100.76.88,4764,2001:7fa:11:2:0:129c:0:2,100G,,,
SA-IX,218.100.54.15,4764,2001:7fa:11:3:0:129c:0:1,10G,,,
VIC-IX,218.100.78.19,4764,2001:7fa:11:1:0:129c:0:1,100G,,,
WA-IX,27.106.192.119,4764,2001:7fa:11::129c:0:2,100G,,,
