Exchange,IPv4,ASN,IPv6,Speed,Port Location,RS Peer,BFD Support
AKL-IX (Auckland NZ),43.243.21.69,38195,2001:7fa:11:6:0:9533:0:1,10G,,,
AMS-IX,80.249.214.119,38195,2001:7f8:1::a503:8195:1,20G,,,
Any2West,206.72.211.103,38195,2001:504:13::211:103,20G,,,
BBIX Tokyo,101.203.88.24,38195,2001:de8:c::3:8195:1,20G,,,
BBIX US-West,101.203.74.77,38195,2403:c780:7200:b074:0:3:8195:1,10G,,,
DE-CIX Frankfurt,80.81.196.217,38195,2001:7f8::9533:0:1,10G,,,
EdgeIX - Adelaide,103.136.101.5,38195,2001:df0:680:2::6,100G,,,
EdgeIX - Auckland,103.180.190.23,38195,2001:df0:680:11::17,10G,,,
EdgeIX - Brisbane,103.136.103.10,38195,2001:df0:680:4::a,100G,,,
EdgeIX - Darwin,103.136.100.4,38195,2001:df0:680::4,10G,,,
EdgeIX - Hobart,103.136.100.131,38195,2001:df0:680:1::4,10G,,,
EdgeIX - Melbourne,202.77.90.8,38195,2001:df0:680:6::8,100G,,,
EdgeIX - Perth,103.136.102.16,38195,2001:df0:680:3::10,100G,,,
EdgeIX - Sydney,202.77.88.14,38195,2001:df0:680:5::e,100G,,,
Equinix Hong Kong,36.255.56.188,38195,2001:de8:7::3:8195:1,20G,,,
Equinix Melbourne,183.177.61.15,38195,2001:de8:6:1:0:3:8195:1,100G,,,
Equinix Perth,101.97.43.5,38195,2001:de8:6:2:0:3:8195:1,20G,,,
Equinix San Jose,206.223.117.66,38195,2001:504:0:1:0:3:8195:1,100G,,,
Equinix Singapore,27.111.229.43,38195,2001:de8:4::3:8195:1,100G,,,
Equinix Sydney,45.127.172.89,38195,2001:de8:6::3:8195:1,100G,,,
Equinix Tokyo,203.190.230.158,38195,2001:de8:5::3:8195:1,10G,,,
LINX LON1,195.66.227.164,38195,2001:7f8:4::9533:1,10G,,,
MegaIX Adelaide,103.48.48.15,38195,2001:dea:0:60::f,10G,,,
MegaIX Auckland,43.243.22.66,38195,2001:dea:0:40::42,100G,,,
MegaIX Bay Area,206.53.206.143,38195,2606:a980:0:e::f,10G,,,
MegaIX Brisbane,103.26.70.7,38195,2001:dea:0:20::7,100G,,,
MegaIX Los Angeles,206.53.172.11,38195,2606:a980:0:5::b,10G,,,
MegaIX Melbourne,103.26.71.30,38195,2001:dea:0:30::1e,100G,,,
MegaIX Perth,202.12.243.43,38195,2001:dea:0:50::2b,10G,,,
MegaIX Singapore,103.41.12.26,38195,2001:ded::1a,10G,,,
MegaIX Sydney,103.26.68.62,38195,2001:dea:0:10::3e,100G,,,
SGIX,103.16.102.76,38195,2001:de8:12:100::76,100G,,,
