failure_id,n_cities,n_isps,is_global
F0,1,6,True
F1,1,5,True
F10,1,1,True
F100,1,1,False
F101,1,1,False
F102,1,1,False
F103,1,1,False
F104,1,1,False
F105,1,1,False
F106,1,1,False
F107,1,1,False
F108,1,1,False
F109,1,1,False
F11,1,1,True
F110,1,1,False
F12,1,1,True
F13,1,1,True
F14,1,1,True
F15,1,1,False
F16,1,1,False
F17,1,1,False
F18,1,1,False
F19,1,1,False
F2,1,4,True
F20,1,1,False
F21,1,1,False
F22,1,1,False
F23,1,1,False
F24,1,1,False
F25,1,1,False
F26,1,1,False
F27,1,1,False
F28,1,1,False
F29,1,1,False
F3,2,5,True
F30,1,1,False
F31,1,1,False
F32,1,1,False
F33,1,1,False
F34,1,1,False
F35,1,1,False
F36,1,1,False
F37,1,1,False
F38,1,1,False
F39,1,1,False
F4,1,3,True
F40,1,1,False
F41,1,1,False
F42,1,1,False
F43,1,1,False
F44,1,1,False
F45,1,1,False
F46,1,1,False
F47,1,1,False
F48,1,1,False
F49,1,1,False
F5,1,2,True
F50,1,1,False
F51,1,1,False
F52,1,1,False
F53,1,1,False
F54,1,1,False
F55,1,1,False
F56,1,2,False
F57,1,1,False
F58,1,1,False
F59,1,1,False
F6,2,4,True
F60,1,1,False
F61,1,1,False
F62,1,1,False
F63,1,1,False
F64,1,1,False
F65,1,1,False
F66,1,1,False
F67,1,1,False
F68,1,1,False
F69,1,1,False
F7,1,1,True
F70,1,1,False
F71,1,1,False
F72,1,1,False
F73,1,1,False
F74,1,1,False
F75,1,1,False
F76,1,1,False
F77,1,1,False
F78,1,1,False
F79,1,1,False
F8,2,3,True
F80,1,1,False
F81,1,1,False
F82,1,1,False
F83,1,1,False
F84,1,1,False
F85,1,2,False
F86,1,1,False
F87,1,1,False
F88,1,1,False
F89,1,1,False
F9,1,1,True
F90,1,1,False
F91,1,1,False
F92,1,1,False
F93,1,1,False
F94,1,1,False
F95,1,1,False
F96,1,1,False
F97,1,1,False
F98,1,1,False
F99,1,1,False
