srg_id,aarnet,abb,optus,superloop,telstra,vocus
ADL_DRW_TER_1,1.0,1.0,1.0,1.0,1.0,1.0
ADL_SMAP_SUB_1,0.0,1.0,0.0,0.0,1.0,0.0
BNE_ROK_TER_1,1.0,0.0,1.0,0.0,1.0,1.0
BNE_ROK_TER_2,1.0,0.0,0.0,0.0,0.0,0.0
BNE_ROK_TER_3,1.0,0.0,1.0,1.0,0.0,1.0
BNE_TSV_TER_1,0.0,0.0,1.0,0.0,0.0,0.0
DRW_ISA_TER_1,1.0,0.0,0.0,1.0,1.0,1.0
DRW_PHE_SUB_1,0.0,0.0,0.0,0.0,0.0,1.0
DRW_PHE_TER_1,0.0,1.0,1.0,1.0,1.0,0.0
HBA_LST_TER_1,1.0,1.0,1.0,1.0,1.0,0.0
HBA_LST_TER_2,1.0,1.0,1.0,1.0,1.0,1.0
LRE_HGD_TER_1,0.0,0.0,0.0,1.0,0.0,1.0
LRE_ISA_TER_1,1.0,0.0,0.0,0.0,0.0,0.0
MEL_ADL_SUB_1,0.0,1.0,0.0,0.0,1.0,0.0
MEL_ADL_TER_1,1.0,1.0,1.0,1.0,1.0,1.0
MEL_ADL_TER_2,1.0,0.0,1.0,0.0,0.0,1.0
MEL_CBR_TER_1,0.0,0.0,0.0,0.0,1.0,0.0
MEL_CBR_TER_2,1.0,1.0,1.0,1.0,1.0,1.0
MEL_PER_SUB_1,0.0,0.0,0.0,0.0,0.0,1.0
MEL_LST_SUB_1,0.0,1.0,1.0,1.0,1.0,0.0
MEL_LST_SUB_2,1.0,1.0,1.0,1.0,1.0,1.0
MEL_LST_SUB_3,1.0,0.0,0.0,0.0,0.0,0.0
ISA_HGD_TER_1,1.0,0.0,0.0,1.0,1.0,1.0
PER_ADL_SUB_1,0.0,1.0,0.0,0.0,1.0,0.0
PER_ADL_TER_1,1.0,1.0,1.0,1.0,1.0,1.0
PER_ADL_TER_2,1.0,0.0,1.0,1.0,1.0,1.0
PER_DRW_SUB_1,0.0,0.0,0.0,0.0,0.0,1.0
PER_PHE_SUB_1,0.0,0.0,0.0,0.0,0.0,1.0
PER_PHE_TER_1,0.0,1.0,1.0,1.0,1.0,0.0
PER_PHE_TER_2,0.0,0.0,1.0,0.0,0.0,0.0
PER_PHE_TER_3,0.0,0.0,0.0,0.0,0.0,1.0
ROK_LRE_TER_1,1.0,0.0,0.0,1.0,0.0,1.0
SYD_ADL_TER_1,0.0,1.0,0.0,1.0,1.0,0.0
SYD_BNE_SUB_1,1.0,0.0,1.0,0.0,1.0,0.0
SYD_BNE_SUB_2,0.0,0.0,0.0,0.0,1.0,0.0
SYD_BNE_SUB_3,0.0,0.0,0.0,0.0,0.0,1.0
SYD_BNE_TER_1,1.0,1.0,1.0,1.0,1.0,1.0
SYD_BNE_TER_2,1.0,1.0,1.0,1.0,1.0,1.0
SYD_BNE_TER_3,1.0,1.0,0.0,1.0,0.0,1.0
SYD_CBR_TER_1,0.0,1.0,0.0,0.0,1.0,0.0
SYD_CBR_TER_2,1.0,1.0,1.0,1.0,1.0,1.0
SYD_CBR_TER_3,1.0,0.0,0.0,0.0,0.0,0.0
SYD_MEL_SUB_1,0.0,1.0,0.0,0.0,1.0,0.0
SYD_MEL_SUB_2,0.0,0.0,0.0,0.0,0.0,1.0
SYD_MEL_TER_1,0.0,0.0,1.0,0.0,0.0,0.0
SYD_MEL_TER_2,1.0,1.0,0.0,1.0,0.0,1.0
SYD_MEL_TER_3,0.0,0.0,0.0,1.0,0.0,0.0
SYD_PER_SUB_1,1.0,1.0,1.0,1.0,1.0,0.0
TSV_HGD_TER_1,1.0,0.0,0.0,0.0,1.0,1.0
TSV_ROK_TER_1,1.0,0.0,1.0,0.0,1.0,1.0
TSV_ROK_TER_2,1.0,0.0,1.0,0.0,0.0,0.0
